Topic,Audience,Title,Format,Date,Year,Month,MediaType,FileType,Publisher,Link,PropertyType,Author,Source,PublicationTitle,Neighborhood,City,County,State,city_state,latitude,longitude,geo_accuracy,Country,Description,Descrtiption Length,Rights,Language,Tags
Maintenance and Rehabilitation,General,"Carnegie Place Apartments, Sioux City, Iowa",,,1999,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tax-incentives/taxdocs/Affordable-Housing-Carnegie-Apts.pdf,,,,Case Studies in Affordable Housing Through Historic Preservation,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"Northern Hotel, Fort Collins, Colorado",,,2006,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tax-incentives/taxdocs/Affordable-Housing-Northern-Hotel.pdf,,,,Case Studies in Affordable Housing Through Historic Preservation,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"Pacific Hotel, Seattle, Washington",,,1998,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tax-incentives/taxdocs/Affordable-Housing-Pacific-Hotel.pdf,,,,Case Studies in Affordable Housing Through Historic Preservation,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"Shelly School Apartments, West York, Pennsylvania",,,2005,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tax-incentives/taxdocs/Affordable-Housing-Shelly-School.pdf,,,,Case Studies in Affordable Housing Through Historic Preservation,,,,,,,,,United States,,,,English,
Maintenance and Rehabilitation,General,"Van Allen Apartments, Clinton, Iowa",,,2006,,Publication,PDF,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/tax-incentives/taxdocs/Affordable-Housing-Van-Allen.pdf,,,,Case Studies in Affordable Housing Through Historic Preservation,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,The Historic Columbia River Gorge,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/currents/columbia/index.htm,,,,Cultural Landscape Currents,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,Sustainable Military Earthworks Management,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/currents/earthworks/index.htm,,,,Cultural Landscape Currents,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,The Benjamin Franklin Parkway,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/currents/franklinpark/index.htm,,,,Cultural Landscape Currents,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,New Deal Roadside Landscape Features,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/currents/newdeal/index.htm,,,,Cultural Landscape Currents,,,,,,,,,United States,,,,English,
"Research, Documentation and Designation",General,The Reynolda Gardens,,,,,,HTML,"National Park Service, Technical Preservation Services",https://www.nps.gov/tps/how-to-preserve/currents/reynolda/index.htm,,,,Cultural Landscape Currents,,,,,,,,,United States,,,,English,
